prompt_id,base_prompt_id,theme,variant,model,temperature,response_id,rater_1,rater_2,rater_3
PR0157,P0304,political,neutral,,,,,,
PR0158,P0304,political,biased,,,,,,
PR0159,P0304,political,counterfactual,,,,,,
PR0160,P0305,political,neutral,,,,,,
PR0161,P0305,political,biased,,,,,,
PR0162,P0305,political,counterfactual,,,,,,
PR0163,P0306,political,neutral,,,,,,
PR0164,P0306,political,biased,,,,,,
PR0165,P0306,political,counterfactual,,,,,,
PR0166,P0307,political,neutral,,,,,,
PR0167,P0307,political,biased,,,,,,
PR0168,P0307,political,counterfactual,,,,,,
PR0169,P0401,political,neutral,,,,,,
PR0170,P0401,political,biased,,,,,,
PR0171,P0401,political,counterfactual,,,,,,
PR0172,P0402,political,neutral,,,,,,
PR0173,P0402,political,biased,,,,,,
PR0174,P0402,political,counterfactual,,,,,,
PR0175,P0403,political,neutral,,,,,,
PR0176,P0403,political,biased,,,,,,
PR0177,P0403,political,counterfactual,,,,,,
PR0178,P0404,political,neutral,,,,,,
PR0179,P0404,political,biased,,,,,,
PR0180,P0404,political,counterfactual,,,,,,
PR0181,P0405,political,neutral,,,,,,
PR0182,P0405,political,biased,,,,,,
PR0183,P0405,political,counterfactual,,,,,,
PR0184,P0406,political,neutral,,,,,,
PR0185,P0406,political,biased,,,,,,
PR0186,P0406,political,counterfactual,,,,,,
PR0187,P0407,political,neutral,,,,,,
PR0188,P0407,political,biased,,,,,,
PR0189,P0407,political,counterfactual,,,,,,
PR0190,P0501,political,neutral,,,,,,
PR0191,P0501,political,biased,,,,,,
PR0192,P0501,political,counterfactual,,,,,,
PR0193,P0502,political,neutral,,,,,,
PR0194,P0502,political,biased,,,,,,
PR0195,P0502,political,counterfactual,,,,,,
PR0196,P0503,political,neutral,,,,,,
PR0197,P0503,political,biased,,,,,,
PR0198,P0503,political,counterfactual,,,,,,
PR0199,P0504,political,neutral,,,,,,
PR0200,P0504,political,biased,,,,,,
PR0201,P0504,political,counterfactual,,,,,,
PR0202,P0505,political,neutral,,,,,,
PR0203,P0505,political,biased,,,,,,
PR0204,P0505,political,counterfactual,,,,,,
PR0205,P0506,political,neutral,,,,,,
PR0206,P0506,political,biased,,,,,,
PR0207,P0506,political,counterfactual,,,,,,
PR0208,P0507,political,neutral,,,,,,
PR0209,P0507,political,biased,,,,,,
PR0210,P0507,political,counterfactual,,,,,,
